Source Domain,Source Element,Relationship,Target Domain,Target Element,Cardinality,Lifecycle Phase,Procore Join Path,Strength,Description
Models & BIM,Drawing Sheet,REPRESENTS,Models & BIM,3D Building Information Model,many:1,All,"Drawing sheets = 2D views from 3D models (discipline-organized)",Medium,"2D drawing sheets generated from 3D BIM models. Sheet ↔ model element linkage."
Models & BIM,Point Cloud / Laser Scan,CAPTURED_BY,Building Elements,All Building Systems,many:many,Construction / Closeout,"Laser scan captures as-built conditions for comparison to design intent",Low,"Reality capture validates construction against design. Growing adoption."
Models & BIM,Quantity Takeoff,CONSUMES,Resources,All Materials,1:many,Preconstruction,"BIM model quantities → material quantities for procurement and estimating",Medium,"BIM-based quantity takeoff feeds material procurement and cost estimating."
Contracts & Procurement,Subcontract,COMMITTED_TO,Financial Instruments,Commitment (Subcontract),1:1,Procurement / Construction,"Same instrument — subcontract in Contracts domain = commitment in Financial domain",High,"Subcontract is the commercial instrument; commitment is the financial tracking. Same record."
Contracts & Procurement,Purchase Order,COMMITTED_TO,Financial Instruments,Commitment (Purchase Order),1:1,Procurement / Construction,"Same instrument — PO in Contracts domain = commitment (PO type) in Financial domain",High,"PO is the commercial instrument; commitment is the financial tracking. Same record."
Contracts & Procurement,Bid Package,PRECEDES,Contracts & Procurement,Subcontract,1:many,Preconstruction,"Bid → evaluation → award → subcontract execution",High,"Bid packages lead to subcontract awards. Bidding process is preconstruction-gated."
Contracts & Procurement,Warranty,FOLLOWS,Phases,Contract Closeout,many:1,Closeout,"Warranty period begins at substantial completion. 1-year general, 2-year MEP, 5-20 year roofing.",Medium,"Warranty obligations begin at closeout. Duration varies by building system."
Contracts & Procurement,Insurance Certificate,COMPLIES_WITH,Permits & Regulatory,Safety & Labor Compliance,many:many,All,"project_vendor_insurances / company_vendor_insurances → insurance tracking",High,"COI compliance tracked via vendor insurance tables. Structured data — High Procore coverage."
Permits & Regulatory,Building Permit,ENABLES,Phases,Construction (all sub-phases),1:many,Preconstruction,"Building permit must be issued before construction starts — critical path item",High,"No construction without a permit. Permit issuance is a schedule milestone."
Permits & Regulatory,AHJ Inspection,INSPECTED_BY,Quality & Safety Records,Third-Party / Special Inspection,many:many,Construction,"Regulatory inspections conducted by AHJ. Tracked via inspections module.",Medium,"AHJ inspections gate construction milestones. Pass required before covering work."
Permits & Regulatory,Certificate of Occupancy,DEPENDS_ON,Quality & Safety Records,Inspection,many:many,Closeout,"All required inspections must pass before CO issuance",High,"CO requires all inspection approvals. Final regulatory gate for project completion."
Permits & Regulatory,Certificate of Occupancy,DEPENDS_ON,Quality & Safety Records,Punch Item,many:many,Closeout,"Punch list closure required for CO (or TCO with open items)",High,"Punch list closure is a prerequisite for certificate of occupancy."
Project Attributes,Project Type,SEGMENTS,Financial Instruments,All Financial Instruments,1:many,All,"projects.project_type → project-level attribute for segmenting financial benchmarks",High,"Project type is the primary segmentation dimension for financial benchmarking."
Project Attributes,Total Value Band,SEGMENTS,Financial Instruments,All Financial Instruments,1:many,All,"projects.total_value → value band classification for cost normalization",High,"Value band segments projects for like-for-like cost comparison."
Project Attributes,Project Type,SEGMENTS,Quality & Safety Records,All Quality Records,1:many,All,"projects.project_type → segmentation for quality/safety benchmarks (7 types with 99+ cos)",High,"Project type drives the 3D hot sheet — issue distributions vary by type."
Project Attributes,State / Region,SEGMENTS,All Domains,All Elements,1:many,All,"projects.state_name (NOT state_code) → geographic segmentation",Medium,"Geographic segmentation for regional benchmarking. 20+ states with 30+ cos."
"--- ADDITIONAL RELATIONSHIPS: ensuring full vocabulary coverage ---",,,,,,,,,,
Building Elements,HVAC,COMPOSED_OF,Resources,Ductwork & HVAC Materials,1:many,Construction,"Building system composed of specific material assemblies. HVAC = ductwork + equipment + controls.",High,"Building systems are physically composed of materials and assemblies."
Building Elements,Exterior Enclosure,ADJACENT_TO,Building Elements,Structural Frame,many:many,Construction,"Exterior enclosure adjacent to structural frame at slab edges and connections.",High,"Adjacent systems require coordination. Curtain wall anchors to structural frame."
Building Elements,Exterior Enclosure,ADJACENT_TO,Building Elements,Roofing,many:many,Construction,"Roofing-to-wall transitions require coordination for weather-tightness.",High,"Interface between enclosure and roofing is a common defect location."
Organizations,General Contractor (GC),OWNED_BY,Organizations,Private Developer,many:1,All,"projects.company_id → owner identification (project ownership)",High,"Project owned by developer/owner entity. GC contracted by owner to build."
Organizations,Architect of Record (AOR),PARTICIPATES_IN,Documents & Communications,Meeting,many:many,All,"meeting_attendee.user_id → users → project_role_memberships (design team)",High,"Architects participate in OAC meetings. Attendance tracked via meeting_attendees."
Roles,Superintendent,REPORTS_TO,Roles,Project Manager,many:1,Construction,"Organizational hierarchy: Superintendent reports to PM on field matters.",High,"Standard construction reporting hierarchy. Superintendent handles field; PM handles overall project."
Roles,Foreman / General Foreman,REPORTS_TO,Roles,Superintendent,many:1,Construction,"Organizational hierarchy: Foreman reports to superintendent for field coordination.",High,"Foreman runs specific crews under superintendent direction."
Documents & Communications,Submittal,TYPED_AS,Documents & Communications,Shop Drawing,many:1,Procurement,"submittals.type = 'Shop Drawing' — shop drawings are a TYPE of submittal.",High,"Shop drawings, product data, and samples are all types of submittals."
Documents & Communications,Submittal,TYPED_AS,Documents & Communications,Product Data Submittal,many:1,Procurement,"submittals.type = 'Product Data' — product data is a TYPE of submittal.",High,"Product data submittals are the highest-volume submittal type."
Financial Instruments,Commitment (Subcontract),TYPED_AS,Contracts & Procurement,Subcontract,1:1,Procurement,"commitments.type = 'Subcontract' — type field distinguishes subcontract from PO.",High,"Subcontract is a type of commitment instrument."
Project Attributes,Project Type,COMPARABLE_TO,Project Attributes,Project Type,many:many,All,"Projects with same project_type are comparable for benchmarking.",High,"Projects of the same type support meaningful comparison."
Project Attributes,Total Value Band,COMPARABLE_TO,Project Attributes,Total Value Band,many:many,All,"Projects within the same value band are comparable for cost benchmarking.",High,"Value band enables like-for-like cost comparison."
Financial Instruments,Budget Variance,BENCHMARKED_AGAINST,Financial Instruments,Budget Variance,many:many,All,"Project budget variance benchmarked against portfolio/industry median.",High,"Budget variance by cost code division benchmarked across projects."
