Taxonomy Node,Node Type,Procore Table,Procore Column(s),Mapping Method,Signal Type,Estimated Coverage,Confidence,Notes
Safety Violation Log,Field Ops,project_management.daily_log_safety_violation,"subject, comments, issued_to, vendor_name, compliance_due, safety_notice",Direct — daily safety violation records,Field Log,Medium,Medium,"subject 66% null. vendor_name free text (no FK). Validated as UNUSABLE for recurrence tracking (insight #11). Volume metric only."
Accident Log,Field Ops,project_management.daily_log_accident,"involved_name, involved_company, comments, time",Direct — lightweight first-report records,Field Log,Medium,Medium,"Links conceptually to incident/incident_record tables for formal OSHA reporting. No direct FK."
Daily Inspection Log,Field Ops,project_management.daily_log_inspection,"inspection_type, inspecting_entity, inspector_name, start, end, comments, area",Direct — daily inspection occurrence records,Field Log,Medium,Medium,"Records WHEN inspections happened; formal inspections tool records WHAT was found."
Visitor Log,Field Ops,project_management.daily_log_visitor,"subject, details, start, end, vendor_name",Direct — site visitor records,Field Log,Medium,Medium,"vendor_name repurposed for visitor organization. Visitor patterns correlate with project phase."
Waste Log,Field Ops,project_management.daily_log_waste,"material, approximate_quantity, method_of_disposal, disposal_location, description, vendor_id",Direct — waste tracking with material type and disposal method,Field Log,Medium,Medium,"material field describes waste type. method_of_disposal enables diversion rate calculation (LEED)."
Dumpster Log,Field Ops,project_management.daily_log_dumpster,"quantity_delivered, quantity_removed, comments, vendor_name",Direct — dumpster in/out tracking,Field Log,Medium,Medium,"Simple operational metric. Dumpster pulls are a general conditions cost item."
Scheduled Work Log,Field Ops,project_management.daily_log_scheduled_work,"resource_name, showed (BOOLEAN), workers, hours, task_names, hourly_rate, reimbursable",Direct — plan-vs-actual with showed boolean,Field Log,High,High,"showed boolean = Last Planner PPC equivalent. Links to schedule via daily_log_scheduled_work_task."
Scheduled Work Task Link,Field Ops,project_management.daily_log_scheduled_work_task,"task_name, task_percentage, schedule_task_id (FK to schedule_task)",Direct — bridges daily log to CPM schedule,Field Log,High,High,"schedule_task_id is the critical FK. No equivalent in P6 — Procore-native field-to-schedule linkage."
Productivity Log,Field Ops,project_management.daily_log_productivity,"quantity_delivered, quantity_used, previously_delivered, previously_used, commitment_id, commitment_line_item_id",Direct — vendor-level delivery/installation tracking,Field Log,Low (622 cos),Low,"Very low adoption limits benchmarking value. Links to commitments for scope tracking."
Quantity Log,Field Ops,project_management.daily_log_quantity,"quantity, unit, description, cost_code_id, cost_code_name, location_id",Direct — cost-code-level installed quantities,Field Log,Medium,Medium,"cost_code linkage enables quantity-based % complete by budget line item."
Construction Reports,Field Ops,project_management.daily_log_construction_reports,"trade_name, trade_id, vendor_name, vendor_id, apprentice_hours, journeyman_hours, foreman_hours, minority_hours, women_hours, veteran_hours, local_city_hours",Direct — certified payroll and workforce diversity reporting,Field Log,High,High,"Required on public projects with prevailing wage/diversity requirements. Detailed classification and demographic breakdowns."
"--- FUTURE DATA SOURCES (NOT YET READY) ---",,,,,,,,
Materials (all),Material,workforce.materials,All columns,Direct material master,Material Master,Not Ready,N/A,"When ready: authoritative material catalog. Currently no access."
Material Procurement,Material,workforce.materials_purchase_order,All columns,Direct PO tracking,Procurement,Not Ready,N/A,"When ready: material ordering data. Links materials to vendors and costs."
Material Receipts,Material,workforce.materials_receipt,All columns,Direct receipt tracking,Procurement,Not Ready,N/A,"When ready: what was actually received on site."
Material Shipments,Material,workforce.materials_shipment,All columns,Direct shipment tracking,Procurement,Not Ready,N/A,"When ready: shipment tracking with dates."
Equipment Master,Equipment,workforce.equipment,All columns,Direct equipment catalog,Equipment Master,Not Ready,N/A,"When ready: authoritative equipment list with specs."
Equipment Timecards,Equipment,workforce.equipment_timecard_entry,All columns,Direct equipment time tracking,Equipment Log,Not Ready,N/A,"When ready: structured time entries per equipment unit."
Timecards (labor),Trade,workforce.timecard_entries,All columns,Direct labor time tracking,Workforce,Not Ready,N/A,"When ready: structured labor hours by employee/trade."
Employees,Trade,workforce.employees,All columns,Employee info including job title/role,Workforce,Not Ready,N/A,"When ready: employee-level trade classification."
T&M Labor,Trade,workforce.time_and_material_labors,All columns,T&M labor entries,Workforce,Not Ready,N/A,"When ready: labor tracking on T&M tickets."
T&M Equipment,Equipment,workforce.time_and_material_equipments,All columns,T&M equipment entries,Workforce,Not Ready,N/A,"When ready: equipment tracking on T&M tickets."
T&M Materials,Material,workforce.time_and_material_materials,All columns,T&M material entries,Workforce,Not Ready,N/A,"When ready: material tracking on T&M tickets."
